latitude,longitude,date,species_count
-31.04,30.23,2000-07-12 12:00:00+00:00,1
-34.36,18.5,1998-12-29 12:00:00+00:00,1
-34.36,18.5,2005-12-22 12:00:00+00:00,1
-33.9,18.43,2001-11-25 12:00:00+00:00,1
38.88,-69.43,1999-10-02 00:00:00+00:00,1
42.65,-52.12,1992-11-08 00:00:00+00:00,1
18.6,-53.99,1996-02-08 00:00:00+00:00,1
-34.05,18.35,1989-11-24 12:00:00+00:00,1
-34.36,18.5,1998-04-16 12:00:00+00:00,1
6.75,-39.26,1999-03-03 00:00:00+00:00,1
25.78,-91.6,2001-10-31 00:00:00+00:00,1
30.0,-62.0,2005-04-04 12:00:00+00:00,1
-29.93,17.12,1987-10-21 12:00:00+00:00,1
-34.05,18.35,1987-04-25 12:00:00+00:00,1
-34.05,18.35,1999-05-21 12:00:00+00:00,1
27.33,-93.06,1993-05-16 00:00:00+00:00,1
2.83,-42.92,1997-02-25 00:00:00+00:00,1
-29.25,16.87,2003-04-18 12:00:00+00:00,1
30.0,-62.0,2003-10-04 12:00:00+00:00,1
-34.05,18.35,2003-11-09 12:00:00+00:00,1
-29.25,16.87,1987-02-01 12:00:00+00:00,1
-29.93,17.12,1990-01-16 12:00:00+00:00,1
-34.36,18.5,2000-03-17 12:00:00+00:00,1
34.12,-75.58,2001-04-06 00:00:00+00:00,1
-34.05,18.35,1993-02-28 12:00:00+00:00,1
-33.43,18.09,1997-03-31 12:00:00+00:00,1
-34.05,18.35,1988-04-16 12:00:00+00:00,1
-33.43,18.09,2001-05-12 12:00:00+00:00,1
-34.36,18.5,2005-03-29 12:00:00+00:00,1
33.58,-76.23,1993-05-28 00:00:00+00:00,1
28.44,-89.01,2005-04-20 00:00:00+00:00,1
-34.36,18.5,2002-11-27 12:00:00+00:00,1
-34.36,18.5,2002-11-25 12:00:00+00:00,1
38.84,-72.32,1996-08-24 00:00:00+00:00,1
27.32,-93.31,1999-10-19 00:00:00+00:00,1
-29.93,17.12,1989-03-24 12:00:00+00:00,1
24.68,-92.81,1996-05-23 00:00:00+00:00,1
-34.05,18.35,1985-03-03 12:00:00+00:00,1
-34.36,18.5,1998-12-04 12:00:00+00:00,1
-34.36,18.5,1999-11-28 12:00:00+00:00,1
-26.63,15.16,2005-02-05 12:00:00+00:00,1
-31.82,18.23,1991-04-24 12:00:00+00:00,1
-34.36,18.5,1994-11-16 12:00:00+00:00,1
28.0,-62.0,2005-07-14 12:00:00+00:00,1
-17.25,11.75,1988-04-28 12:00:00+00:00,1
24.87,-84.28,2003-01-23 00:00:00+00:00,1
-34.36,18.5,1989-04-09 12:00:00+00:00,1
-33.02,17.95,2001-05-17 12:00:00+00:00,1
26.53,-91.78,1995-05-10 00:00:00+00:00,1
-32.82,17.83,1986-04-30 12:00:00+00:00,1
-34.36,18.5,2000-11-26 12:00:00+00:00,1
-34.36,18.5,2002-12-12 12:00:00+00:00,1
-34.36,18.5,2000-01-01 12:00:00+00:00,1
-34.05,18.35,1990-03-30 12:00:00+00:00,1
45.49,-41.11,1995-08-20 00:00:00+00:00,1
31.31,-78.87,2001-12-08 00:00:00+00:00,1
-34.05,18.35,1985-04-13 12:00:00+00:00,1
43.03,-53.23,1995-10-10 00:00:00+00:00,1
-33.02,17.95,1996-12-09 12:00:00+00:00,1
-34.36,18.5,1998-11-26 12:00:00+00:00,1
